,category,price
0,Dry & Packaged Food ,1750.0
1,Dry & Packaged Food ,1250.0
2,Hygiene & Cleaning Essentials,360.0
3,Hygiene & Cleaning Essentials,180.0
4,Hygiene & Cleaning Essentials,299.0
5,Dry & Packaged Food ,650.0
6,Dry & Packaged Food ,588.0
7,Groceries,568.0
8,Groceries,636.0
9,Organic Products,986.0
10,Organic Products,1057.0
11,Organic Products,821.0
12,Organic Products,906.0
13,Bathing & Gromming ,599.0
14,Hygiene Essentials,580.0
15,Beverages ,50.0
16,Beverages ,100.0
17,Beverages ,40.0
18,Beverages ,40.0
19,Beverages ,40.0
20,Beverages ,40.0
21,Beverages ,40.0
22,Hygiene Essentials,350.0
23,Beverages ,120.0
24,Beverages ,120.0
25,Beverages ,120.0
26,Beverages ,120.0
27,Beverages ,120.0
28,Beverages ,120.0
29,Beverages ,120.0
30,Hygiene & Cleaning Essentials,3290.0
31,Frozen Item,345.0
32,Kid's Hygiene,145.0
33,Organic Products,1300.0
34,Organic Products,890.0
35,Organic Products,790.0
36,Fruits & Vegetables ,65.0
37,Pet Food ,65.0
38,Pet Food ,65.0
39,Pet Food ,100.0
40,Pet Supplies ,380.0
41,Pet Supplies ,280.0
42,Pet Supplies ,690.0
43,Pet Supplies ,190.0
44,Pet Food ,590.0
45,Pet Food ,430.0
46,Bathing & Gromming ,370.0
47,Bathing & Gromming ,280.0
48,Pet Food ,1300.0
49,Pet Food ,800.0
50,Pet Food ,650.0
51,Pet Food ,650.0
52,Pet Food ,1000.0
53,Pet Food ,1050.0
54,Pet Food ,1840.0
55,Pet Food ,385.0
56,Pet Food ,2050.0
57,Pet Food ,3625.0
58,Pet Food ,1205.0
59,Pet Food ,1250.0
60,Pet Food ,1630.0
61,Pet Food ,1100.0
62,Pet Food ,1030.0
63,Pet Food ,780.0
64,Pet Food ,1985.0
65,Pet Food ,1315.0
66,Pet Food ,555.0
67,Pet Food ,800.0
68,Dry & Packaged Food ,120.0
69,Dry & Packaged Food ,120.0
70,Dry & Packaged Food ,460.0
71,Hygiene & Cleaning Essentials,10.0
72,Hygiene & Cleaning Essentials,50.0
73,Hygiene & Cleaning Essentials,435.0
74,Hygiene & Cleaning Essentials,150.0
75,Hygiene & Cleaning Essentials,250.0
76,Beverages ,304.0
77,Beverages ,304.0
78,Dry & Packaged Food ,105.0
79,Dry & Packaged Food ,105.0
80,Dry & Packaged Food ,210.0
81,Dry & Packaged Food ,105.0
82,Dry & Packaged Food ,210.0
83,Dry & Packaged Food ,105.0
84,Dry & Packaged Food ,105.0
85,Dry & Packaged Food ,150.0
86,Dry & Packaged Food ,150.0
87,Dry & Packaged Food ,150.0
88,Dry & Packaged Food ,150.0
89,Dry & Packaged Food ,350.0
90,Dry & Packaged Food ,350.0
91,Frozen Item,495.0
92,Frozen Item,465.0
93,Frozen Item,520.0
94,Dry & Packaged Food ,250.0
95,Frozen Item,420.0
96,Dry & Packaged Food ,99.0
97,Dry & Packaged Food ,99.0
98,Dry & Packaged Food ,99.0
99,Hygiene & Cleaning Essentials,700.0
100,Dry & Packaged Food ,199.0
101,Cooking Essentials ,265.0
102,Dry & Packaged Food ,350.0
103,Organic Products,600.0
104,Organic Products,600.0
105,Organic Products,500.0
106,Organic Products,500.0
107,Organic Products,500.0
108,Organic Products,500.0
109,Organic Products,600.0
110,Organic Products,600.0
111,Groceries,3010.0
112,Dry & Packaged Food ,350.0
113,Dry & Packaged Food ,320.0
114,Dry & Packaged Food ,310.0
115,Hygiene & Cleaning Essentials,625.0
116,Hygiene & Cleaning Essentials,750.0
117,Hygiene Essentials,415.0
118,Hygiene Essentials,6200.0
119,Hygiene Essentials,1200.0
120,Kid's Hygiene,368.0
121,Cooking Essentials ,400.0
122,Pet Food ,240.0
123,Bathing & Gromming ,500.0
124,Pet Supplies ,1100.0
125,Pet Supplies ,3500.0
126,Bathing & Gromming ,600.0
127,Pet Food ,300.0
128,Pet Food ,990.0
129,Pet Food ,1280.0
130,Bathing & Gromming ,425.0
131,Pet Food ,600.0
132,Bathing & Gromming ,720.0
133,Bathing & Gromming ,495.0
134,Bathing & Gromming ,500.0
135,Bathing & Gromming ,320.0
136,Bathing & Gromming ,320.0
137,Bathing & Gromming ,990.0
138,Bathing & Gromming ,550.0
139,Bathing & Gromming ,335.0
140,Bathing & Gromming ,420.0
141,Bathing & Gromming ,320.0
142,Bathing & Gromming ,490.0
143,Bathing & Gromming ,490.0
144,Bathing & Gromming ,490.0
145,Bathing & Gromming ,490.0
146,Pet Food ,275.0
147,Pet Food ,275.0
148,Bathing & Gromming ,660.0
149,Pet Food ,440.0
150,Pet Food ,440.0
151,Pet Food ,230.0
152,Pet Food ,380.0
153,Groceries,150.0
154,Pet Supplies ,250.0
155,Bathing & Gromming ,600.0
156,Bathing & Gromming ,600.0
157,Bathing & Gromming ,660.0
158,Bathing & Gromming ,330.0
159,Bathing & Gromming ,330.0
160,Parts & Spares,999.0
161,Bathing & Gromming ,385.0
162,Pet Supplies ,320.0
163,Parts & Spares,700.0
164,Auto Accessories,11410.0
165,Pet Supplies ,255.0
166,Pet Supplies ,160.0
167,Auto Accessories,5960.0
168,Auto Accessories,16580.0
169,Bathing & Gromming ,240.0
170,Helmets ,14550.0
171,Two Wheelers,367500.0
172,Pet Supplies ,250.0
173,Bathing & Gromming ,300.0
174,Two Wheelers,218000.0
175,Two Wheelers,128500.0
176,Pet Supplies ,320.0
177,Pet Supplies ,350.0
178,Two Wheelers,199000.0
179,Bathing & Gromming ,300.0
180,Pet Food ,600.0
181,Two Wheelers,99000.0
182,Two Wheelers,89000.0
183,Pet Supplies ,550.0
184,Pet Supplies ,240.0
185,Two Wheelers,145000.0
186,Two Wheelers,255000.0
187,Two Wheelers,255000.0
188,Two Wheelers,310000.0
189,Two Wheelers,445000.0
190,Auto Accessories,230.0
191,Pet Supplies ,350.0
192,Pet Supplies ,210.0
193,Automobiles,881.0
194,Automobiles,1950.0
195,Auto Accessories,1950.0
196,Auto Accessories,1377.0
197,Pet Supplies ,275.0
198,Pet Supplies ,385.0
199,Pet Supplies ,500.0
200,Pet Food ,550.0
201,Pet Supplies ,150.0
202,Bathing & Gromming ,550.0
203,Bathing & Gromming ,820.0
204,Auto Accessories,2900.0
205,Gloves ,349.0
206,Two Wheelers,424900.0
207,Two Wheelers,324400.0
208,Two Wheelers,309400.0
209,Two Wheelers,260900.0
210,Bathing & Gromming ,500.0
211,Pet Food ,1200.0
212,Bathing & Gromming ,300.0
213,Bathing & Gromming ,275.0
214,Dry & Packaged Food ,150.0
215,Cooking Essentials ,1600.0
216,Cooking Essentials ,3500.0
217,Two Wheelers,253900.0
218,Two Wheelers,405446.0
219,Two Wheelers,385446.0
220,Two Wheelers,339946.0
221,Two Wheelers,383446.0
222,Cooking Essentials ,2800.0
223,Cooking Essentials ,1100.0
224,Cooking Essentials ,150.0
225,Dry & Packaged Food ,100.0
226,Cooking Essentials ,120.0
227,Organic Products,250.0
228,Two Wheelers,337946.0
229,Two Wheelers,367446.0
230,Two Wheelers,323946.0
231,Two Wheelers,273946.0
232,Two Wheelers,273946.0
233,Organic Products,205.0
234,Organic Products,680.0
235,Organic Products,720.0
236,Organic Products,660.0
237,Organic Products,690.0
238,Organic Products,630.0
239,Auto Accessories,4200.0
240,Auto Accessories,1675.0
241,Auto Accessories,399.0
242,Auto Accessories,650.0
243,Gloves ,550.0
244,Organic Products,950.0
245,Organic Products,950.0
246,Organic Products,1900.0
247,Fruits & Vegetables ,748.0
248,Fruits & Vegetables ,748.0
249,Dry & Packaged Food ,730.0
250,Auto Accessories,1950.0
251,Auto Accessories,750.0
252,Auto Accessories,2400.0
253,Auto Accessories,975.0
254,Auto Accessories,500.0
255,Auto Accessories,399.0
256,Auto Accessories,2950.0
257,Auto Accessories,350.0
258,Dry & Packaged Food ,1395.0
259,Dry & Packaged Food ,630.0
260,Dry & Packaged Food ,1200.0
261,Fruits & Vegetables ,600.0
262,Organic Products,950.0
263,Auto Accessories,650.0
264,Auto Accessories,650.0
265,Organic Products,950.0
266,Hygiene Essentials,140.0
267,Two Wheelers,241500.0
268,Two Wheelers,321500.0
269,Dry & Packaged Food ,140.0
270,Frozen Item,349.0
271,Two Wheelers,525500.0
272,Two Wheelers,790000.0
273,Frozen Item,439.0
274,Frozen Item,379.0
275,Two Wheelers,941500.0
276,Frozen Item,499.0
277,Frozen Item,439.0
278,Two Wheelers,1650000.0
279,Frozen Item,439.0
280,Cooking Essentials ,550.0
281,Two Wheelers,1550000.0
282,Four Wheeler,1425000.0
283,Cooking Essentials ,550.0
284,Cooking Essentials ,550.0
285,Two Wheelers,151000.0
286,Vegetables (Insecticides & Pesticides Free)   ,144.0
287,Cooking Essentials ,100.0
288,Two Wheelers,151000.0
289,Two Wheelers,169000.0
290,Cooking Essentials ,800.0
291,Dry & Packaged Food ,1000.0
292,Two Wheelers,165000.0
293,Dairy Products ,460.0
294,Cooking Essentials ,320.0
295,Dry & Packaged Food ,610.0
296,Cooking Essentials ,95.0
297,Cooking Essentials ,100.0
298,Dry & Packaged Food ,455.0
299,Hygiene Essentials,340.0
300,Beverages ,235.0
301,Cooking Essentials ,116.0
302,Dry & Packaged Food ,310.0
303,Cooking Essentials ,150.0
304,Cooking Essentials ,48.0
305,Cooking Essentials ,420.0
306,Cooking Essentials ,165.0
307,Cooking Essentials ,165.0
308,Sweets & Chocolates,430.0
309,Dairy Products ,190.0
310,Groceries,130.0
311,Dry & Packaged Food ,170.0
312,Dry & Packaged Food ,210.0
313,Dry & Packaged Food ,450.0
314,Dry & Packaged Food ,150.0
315,Hygiene Essentials,330.0
316,Cooking Essentials ,345.0
317,Dry & Packaged Food ,245.0
318,Beverages ,220.0
319,Dry & Packaged Food ,275.0
320,Dry & Packaged Food ,295.0
321,Dry & Packaged Food ,275.0
322,Dry & Packaged Food ,275.0
323,Dry & Packaged Food ,75.0
324,Cooking Essentials ,130.0
325,Cooking Essentials ,145.0
326,Cooking Essentials ,45.0
327,Hygiene & Cleaning Essentials,340.0
328,Hygiene & Cleaning Essentials,340.0
329,Dry & Packaged Food ,160.0
330,Dry & Packaged Food ,160.0
331,Cooking Essentials ,2720.0
332,Dry & Packaged Food ,350.0
333,Cooking Essentials ,230.0
334,Cooking Essentials ,950.0
335,Beverages ,485.0
336,Beverages ,485.0
337,Beverages ,485.0
338,Beverages ,485.0
339,Beverages ,485.0
340,Beverages ,485.0
341,Fruits & Vegetables ,700.0
342,Fruits & Vegetables ,400.0
343,Fruits & Vegetables ,140.0
344,Fruits & Vegetables ,170.0
345,Fruits & Vegetables ,310.0
346,Fruits & Vegetables ,180.0
347,Fruits & Vegetables ,160.0
348,Fruits & Vegetables ,350.0
